"ctry","year","population","gdp_current_usd","gdp_per_cap","listed_domestic_comps","mkt_cap_gdp","foreign_invest_gdp","voice_account_est","voice_account_rank","pol_stab_est","pol_stab_rank","gov_eff_est","gov_eff_rank","reg_qual_est","reg_qual_rank","rule_law_est","rule_law_rank","control_cor_est","control_cor_rank"
"AW",2015,107906,2962907262.56983,27458.2253310273,NA,NA,-0.907264204095974,1.27399480342865,91.625617980957,1.21023952960968,92.3809509277344,0.847599267959595,75.7142868041992,1.35814249515533,90.476188659668,1.22713792324066,85.2380981445312,1.24830114841461,88.0952377319336
"AW",2016,108727,2983635195.53073,27441.5296617282,NA,NA,0.92339797912293,1.27949273586273,92.1182250976562,1.26075851917267,93.3333358764648,0.852905750274658,76.6666641235352,1.33574497699738,89.0476226806641,1.2266480922699,86.1904754638672,1.23269331455231,88.5714263916016
"AW",2017,108735,3092429050.27933,28440.051963759,NA,NA,5.25337330818787,1.29565441608429,92.61083984375,1.31384599208832,95.2380981445312,0.875969707965851,78.0952377319336,1.18148112297058,83.8095245361328,1.29584264755249,87.1428604125977,1.23961400985718,87.6190490722656
"AW",2018,108908,3276184357.5419,30082.1276448186,NA,NA,4.39982167334802,1.28282356262207,91.2621383666992,1.33750987052917,95.2830200195312,1.01341271400452,80,0.846328258514404,77.6190490722656,1.25965404510498,86.1904754638672,1.20740139484406,86.6666641235352
"AW",2019,109203,3395798882.68156,31096.2050738676,NA,NA,-2.21528256776249,1.2625652551651,91.3043441772461,1.33580732345581,95.7547149658203,0.987693905830383,80,0.846234202384949,75.7142868041992,1.22834599018097,85.7142868041992,1.17443084716797,83.8095245361328
"AW",2020,108587,2481857122.8401,22855.9323200761,NA,NA,6.4897764502147,1.28185057640076,92.7536239624023,1.3715912103653,96.2264175415039,1.07495975494385,83.8095245361328,0.914808511734009,77.6190490722656,1.27059960365295,86.6666641235352,1.1988273859024,85.2380981445312
"AW",2021,107700,2929446578.25104,27200.0610793969,NA,NA,4.5587150204386,1.01815533638,80.1932373046875,1.43172669410706,97.1698150634766,1.08387625217438,82.8571395874023,0.93955534696579,79.0476226806641,1.24666583538055,86.1904754638672,0.800938904285431,78.5714263916016
"AF",2015,33831764,19134221644.7325,565.569730408751,NA,NA,0.88400046336123,-1.11762809753418,18.7192115783691,-2.56262516975403,0.952380955219269,-1.39739489555359,6.66666650772095,-1.0188262462616,13.8095235824585,-1.51620066165924,4.2857141494751,-1.35471308231354,5.7142858505249
"AF",2016,34700612,18116572395.0772,522.082215583898,NA,NA,0.516606084523093,-1.03783690929413,20.6896553039551,-2.6621561050415,0.952380955219269,-1.29146802425385,7.61904764175415,-1.33969509601593,7.14285707473755,-1.52253365516663,5.7142858505249,-1.54022777080536,3.80952382087708
"AF",2017,35688935,18753456497.8159,525.469770891619,NA,NA,0.274796791572807,-0.990954160690308,22.1674880981445,-2.7949755191803,0.476190477609634,-1.38659679889679,7.14285707473755,-1.36301040649414,7.14285707473755,-1.58117640018463,5.2380952835083,-1.53007459640503,3.80952382087708
"AF",2018,36743039,18053222687.4126,491.337221382603,NA,NA,0.661572217787196,-1.00768673419952,20.3883495330811,-2.75344133377075,0.471698105335236,-1.50175786018372,7.14285707473755,-1.13820362091064,10.4761905670166,-1.68912386894226,4.2857141494751,-1.50287592411041,4.7619047164917
"AF",2019,37856121,18799444490.1128,496.6025042585,NA,NA,0.124495985291258,-1.00671291351318,21.2560386657715,-2.65253973007202,0.943396210670471,-1.5191125869751,6.66666650772095,-1.11377799510956,10.4761905670166,-1.74210047721863,4.2857141494751,-1.41931009292603,5.7142858505249
"AF",2020,39068979,19955929052.1496,510.787063366811,NA,NA,0.0649939571808755,-1.07826685905457,19.8067626953125,-2.702721118927,0.471698105335236,-1.61153948307037,5.2380952835083,-1.38916301727295,8.09523773193359,-1.83140671253204,2.38095235824585,-1.49336087703705,4.7619047164917
"AF",2021,40000412,14259995441.0759,356.496214115892,NA,NA,0.144466946606861,-1.56838941574097,7.24637699127197,-2.51867604255676,1.41509437561035,-1.67058789730072,5.2380952835083,-1.31168210506439,8.09523773193359,-1.87723398208618,1.90476191043854,-1.15226578712463,12.380952835083
"AO",2015,28157798,90496420506.5957,3213.90261080059,NA,NA,11.0813390258994,-1.17716491222382,15.2709360122681,-0.50538581609726,28.0952377319336,-0.929087340831757,18.0952377319336,-0.8636714220047,21.9047622680664,-1.03065872192383,12.8571424484253,-1.42772650718689,4.2857141494751
"AO",2016,29183070,52761617225.9253,1807.95294072643,NA,NA,-0.340242828705014,-1.14032745361328,16.7487678527832,-0.321580082178116,33.3333320617676,-0.971493542194366,15.2380952835083,-0.969250917434692,15.2380952835083,-1.00395023822784,16.1904754638672,-1.48399043083191,4.7619047164917
"AO",2017,30234839,73690154990.7312,2437.25971190821,NA,NA,-10.0383767819736,-1.09524345397949,18.2266006469727,-0.387895494699478,30.4761905670166,-0.951988995075226,17.1428565979004,-1.04546654224396,12.380952835083,-1.03998208045959,14.7619047164917,-1.44517171382904,5.7142858505249
"AO",2018,31297155,79450688259.3664,2538.59139143371,NA,NA,-8.12589110876485,-0.903594315052032,22.8155345916748,-0.347208589315414,34.9056587219238,-1.00525164604187,14.7619047164917,-0.8006831407547,20.9523811340332,-1.00106203556061,16.6666660308838,-1.19948387145996,10.9523811340332
